# Test model set of vertical prisms (x, y, zb, zt, dx, dy, rho)
# Used in examples discussed in the gravprisms documentation
# Horizontal units are km, vertical are meter, density is km/m^3
-4.5	29.5	0	18	1	1	1373
-3.5	29.5	0	21.4	1	1	1373.4
-2.5	29.5	0	24.1	1	1	1373.7
-1.5	29.5	0	25.9	1	1	1374
-0.5	29.5	0	26.9	1	1	1374.1
0.5	29.5	0	26.9	1	1	1374.1
1.5	29.5	0	25.9	1	1	1374
2.5	29.5	0	24.1	1	1	1373.7
3.5	29.5	0	21.4	1	1	1373.4
4.5	29.5	0	18	1	1	1373
-8.5	28.5	0	20.5	1	1	1373.3
-7.5	28.5	0	27.8	1	1	1374.2
-6.5	28.5	0	34.7	1	1	1375
-5.5	28.5	0	40.9	1	1	1375.7
-4.5	28.5	0	46.4	1	1	1376.3
-3.5	28.5	0	51.1	1	1	1376.8
-2.5	28.5	0	54.6	1	1	1377.2
-1.5	28.5	0	57.1	1	1	1377.5
-0.5	28.5	0	58.3	1	1	1377.6
0.5	28.5	0	58.3	1	1	1377.6
1.5	28.5	0	57.1	1	1	1377.5
2.5	28.5	0	54.6	1	1	1377.2
3.5	28.5	0	51.1	1	1	1376.8
4.5	28.5	0	46.4	1	1	1376.3
5.5	28.5	0	40.9	1	1	1375.7
6.5	28.5	0	34.7	1	1	1375
7.5	28.5	0	27.8	1	1	1374.2
8.5	28.5	0	20.5	1	1	1373.3
-11.5	27.5	0	18.8	1	1	1373.1
-10.5	27.5	0	28.8	1	1	1374.3
-9.5	27.5	0	38.8	1	1	1375.5
-8.5	27.5	0	48.7	1	1	1376.6
-7.5	27.5	0	58.3	1	1	1377.6
-6.5	27.5	0	67.4	1	1	1378.5
-5.5	27.5	0	75.7	1	1	1379.4
-4.5	27.5	0	83	1	1	1380.1
-3.5	27.5	0	89.1	1	1	1380.7
-2.5	27.5	0	93.8	1	1	1381.1
-1.5	27.5	0	97.1	1	1	1381.4
-0.5	27.5	0	98.7	1	1	1381.6
0.5	27.5	0	98.7	1	1	1381.6
1.5	27.5	0	97.1	1	1	1381.4
2.5	27.5	0	93.8	1	1	1381.1
3.5	27.5	0	89.1	1	1	1380.7
4.5	27.5	0	83	1	1	1380.1
5.5	27.5	0	75.7	1	1	1379.4
6.5	27.5	0	67.4	1	1	1378.5
7.5	27.5	0	58.3	1	1	1377.6
8.5	27.5	0	48.7	1	1	1376.6
9.5	27.5	0	38.8	1	1	1375.5
10.5	27.5	0	28.8	1	1	1374.3
11.5	27.5	0	18.8	1	1	1373.1
-13.5	26.5	0	20.5	1	1	1373.3
-12.5	26.5	0	32.7	1	1	1374.8
-11.5	26.5	0	45.3	1	1	1376.2
-10.5	26.5	0	58.3	1	1	1377.6
-9.5	26.5	0	71.5	1	1	1378.9
-8.5	26.5	0	84.5	1	1	1380.2
-7.5	26.5	0	97.1	1	1	1381.4
-6.5	26.5	0	108.9	1	1	1382.5
-5.5	26.5	0	119.8	1	1	1383.5
-4.5	26.5	0	129.4	1	1	1384.4
-3.5	26.5	0	137.4	1	1	1385.1
-2.5	26.5	0	143.6	1	1	1385.6
-1.5	26.5	0	147.8	1	1	1386
-0.5	26.5	0	150	1	1	1386.2
0.5	26.5	0	150	1	1	1386.2
1.5	26.5	0	147.8	1	1	1386
2.5	26.5	0	143.6	1	1	1385.6
